Begger	AgeClass	Sex	Mother	FoodItem	Complexity	Rarity	NrBeggingEvents	FollowHours	BeggingFrequency	Site
Ronaldo	2	male	Raffi	UNK_LV	0	0.00115667	2	99.7	0.0340966	wild
Chuck	1	male	Chick	BNGPR_FR	2	0.000896802	1	0.0		wild
Lilly	7	female	Lisa	RAYAP_IN	3	0.086011424	5	93.6	0.0907958	wild
Lilly	7	female	Lisa	CMG_FR	5	0.030628831	17	93.6	0.3087057	wild
Fredy	3	male	Friska	RSKB_FR	1	0.018822642	4	155.6	0.0437065	wild
Ellie	9	female	Friska	MLK_FR	2.35	0.246574575	1	97.3	0.0174717	wild
Fredy	3	male	Friska	AKAR_LV	0	0.002338818	3	155.6	0.0327799	wild
Fredy	3	male	Friska	UNK_FR	0	0.001447112	1	155.6	0.0109266	wild
Fredy	3	male	Friska	CMG_FR	5	0.030628831	1	155.6	0.0109266	wild
Fredy	3	male	Friska	UNK_LV	0	0.00115667	1	155.6	0.0109266	wild
Fredy	3	male	Friska	RP_LV	0	0.004733686	1	155.6	0.0109266	wild
Chindy	5	female	Cissy	UNK_LV	0	0.00115667	4	0.0		wild
Chindy	5	female	Cissy	RAYAP_IN	3	0.086011424	4	0.0		wild
Chindy	5	female	Cissy	UNK_IN	2.5	0.000214009	4	0.0		wild
Chindy	5	female	Cissy	AJK_VE	4	0.000244582	1	0.0		wild
Chindy	5	female	Cissy	AKAR_LV	0	0.002338818	6	0.0		wild
Lilly	7	female	Lisa	AKAR_LV	0	0.002338818	1	93.6	0.0181592	wild
Ronaldo	2	male	Raffi	RSKP_FR	1	0.008799865	16	99.7	0.2727729	wild
Fredy	3.5	male	Friska	AKAR_LV	0	0.002338818	5	170.8	0.0497610	wild
Ellie	9	female	Friska	AKAR_LV	0	0.002338818	1	97.3	0.0174717	wild
Fredy	4	male	Friska	UNK	0	0.000835656	4	7.0	0.9784173	wild
Fredy	4	male	Friska	ULAT_IN	5	0.001289152	2	7.0	0.4892086	wild
Fredy	4	male	Friska	ASK_LV	0	0.018797165	1	7.0	0.2446043	wild
Fredy	4	male	Friska	ATB_VE	4	0.000193628	1	7.0	0.2446043	wild
Fredy	2.5	male	Friska	KULBT_FR	1	0.00967119	1	0.0		wild
Fredy	2.5	male	Friska	AKAR_NA	0	0.000443305	2	0.0		wild
Fredy	3	male	Friska	SEMUT_IN	2	0.05084763	2	155.6	0.0218532	wild
Fredy	3	male	Friska	PRD_FR	3	0.005951501	1	155.6	0.0109266	wild
Fredy	3	male	Friska	RTN_VE	1	0.0028076	4	155.6	0.0437065	wild
Fredy	3	male	Friska	KULBT_FR	1	0.00967119	5	155.6	0.0546331	wild
Fredy	3	male	Friska	MLK_FR	2.35	0.246574575	1	155.6	0.0109266	wild
Fredy	3.5	male	Friska	UNK	0	0.000835656	1	170.8	0.0099522	wild
Fredy	3.5	male	Friska	ASK_LV	0	0.018797165	2	170.8	0.0199044	wild
Fredy	3.5	male	Friska	CMG_FR	5	0.030628831	2	170.8	0.0199044	wild
Fredy	3	male	Friska	UNK	0	0.000835656	5	155.6	0.0546331	wild
Fredy	3	male	Friska	UNK_IN	2.5	0.000214009	1	155.6	0.0109266	wild
Fredy	3	male	Friska	RSKP_LV	0	0.02737283	1	155.6	0.0109266	wild
Fredy	3	male	Friska	TOOLUSE	5	1.52864E-05	2	155.6	0.0218532	wild
Fredy	3	male	Friska	UNK_VE	4	0.000601265	1	155.6	0.0109266	wild
Lilly	7	female	Lisa	KULBT_FR	1	0.00967119	4	93.6	0.0726366	wild
Lilly	6.5	female	Lisa	CMG_FR	5	0.030628831	2	0.0		wild
Lilly	7	female	Lisa	AKAR_NA	0	0.000443305	2	93.6	0.0363183	wild
Chindy	5	female	Cissy	SEMUT_IN	2	0.05084763	4	0.0		wild
Chindy	5	female	Cissy	RP_LV	0	0.004733686	1	0.0		wild
Chindy	5	female	Cissy	MDGB_FR	1	0.013574315	2	0.0		wild
Chindy	5	female	Cissy	KULJM_FR	1	0.002043281	1	0.0		wild
Chindy	5	female	Cissy				0	0.0		wild
Chindy	5	female	Cissy	MLK_FR	2.35	0.246574575	3	0.0		wild
Ian		male	Intai	RAYAP_IN	3	0.086011424	0	0.0		wild
Ronaldo	2	male	Raffi	RSKP_LV	0	0.02737283	2	99.7	0.0340966	wild
Ronaldo	1.5	male	Raffi	SEMUT_IN	2	0.05084763	2	23.6	0.1440678	wild
Fredy	3	male	Friska	MLK_FL	0	0.007790964	1	155.6	0.0109266	wild
Fredy	3.5	male	Friska	RSKP_FR	1	0.008799865	2	170.8	0.0199044	wild
Chindy	6	female	Cissy	UNK	0	0.000835656	1	25.1	0.0677291	wild
Chindy	6	female	Cissy	MLK_FR	2.35	0.246574575	1	25.1	0.0677291	wild
Fredy	4	male	Friska	SEMUT_IN	2	0.05084763	4	7.0	0.9784173	wild
Fredy	4	male	Friska	AKAR_LV	0	0.002338818	2	7.0	0.4892086	wild
Fredy	4	male	Friska	RAYAP_IN	3	0.086011424	9	7.0	2.2014388	wild
Fredy	4	male	Friska	AKAR_VE	4	0.000779606	1	7.0	0.2446043	wild
Fredy	4	male	Friska	RP_LV	0	0.004733686	4	7.0	0.9784173	wild
Fredy	4	male	Friska	MNGH_FR	3	0.027907854	1	7.0	0.2446043	wild
Fredy	4	male	Friska	SPG_FR	3	0.052972439	4	7.0	0.9784173	wild
Fredy	4	male	Friska	AJK_VE	4	0.000244582	1	7.0	0.2446043	wild
Fredy	4	male	Friska	RSKP_LV	0	0.02737283	1	7.0	0.2446043	wild
Cinnamon	7	female	Cissy	SEMUT_IN	2	0.05084763	1	71.7	0.0237165	wild
Pepito	6.5	male	Piniata	RNGS_BK	2	0.002450918	3	0.0		wild
Eden	5	female	Ellie	BSG_BK	2	0.002262386	1	125.2	0.0135819	wild
Eden	5	female	Ellie	SEMUT_IN	2	0.05084763	1	125.2	0.0135819	wild
Eden	5	female	Ellie	MADU_KERINGAT_IN	4	4.07637E-05	1	125.2	0.0135819	wild
Eden	5	female	Ellie	UNK_IN	2.5	0.000214009	2	125.2	0.0271638	wild
Pepito	7	male	Piniata	CMG_FR	5	0.030628831	1	22.3	0.0763473	wild
Frankie	6.5	male	Friska	RAYAP_IN	3	0.086011424	2	35.9	0.0947955	wild
Luther	3	male	Lilly	UBR_FR	3	0.016015042	1	15.4	0.1102703	wild
Luther	3	male	Lilly	UNK_LV	0	0.00115667	3	15.4	0.3308108	wild
Frankie	6.5	male	Friska	RNGS_BK	2	0.002450918	1	35.9	0.0473978	wild
Eden	5	female	Ellie	RAYAP_IN	3	0.086011424	10	125.2	0.1358189	wild
Eden	4.5	female	Ellie	RAYAP_IN	3	0.086011424	10	15.8	1.0793651	wild
Frankie		male	Friska	ATB_VE	4	0.000193628	0	0.0		wild
Frankie		male	Friska	RTN_VE	1	0.0028076	0	0.0		wild
Eden	4.5	female	Ellie	APKSB_LV	0	6.6241E-05	1	15.8	0.1079365	wild
Eden	5	female	Ellie	ASK_LV	0	0.018797165	1	125.2	0.0135819	wild
Frankie	6.5	male	Friska	UNK	0	0.000835656	1	35.9	0.0473978	wild
Frankie	7	male	Friska	UNK	0	0.000835656	1	62.8	0.0270916	wild
Eden	4.5	female	Ellie	UNK_IN	2.5	0.000214009	5	15.8	0.5396825	wild
Frankie	7	male	Friska	UNK_IN	2.5	0.000214009	3	62.8	0.0812749	wild
Eden	4.5	female	Ellie	TMPGRW_FR	3	0.00016815	3	15.8	0.3238095	wild
Frankie	7	male	Friska	RAYAP_IN	3	0.086011424	6	62.8	0.1625498	wild
Frankie	7	male	Friska	MADU_KERINGAT_IN	4	4.07637E-05	1	62.8	0.0270916	wild
Frankie	7	male	Friska	APKSB_LV	0	6.6241E-05	1	62.8	0.0270916	wild
Eden	5	female	Ellie	MADU_IN	4	2.03819E-05	1	125.2	0.0135819	wild
Sari	2.5	female	Padana	PAPRIKA_FR	2	5	2	13.3	0.1503759	zoo
Martok	3	male	Raja	SALAD_VE	0	5	8	13.3	0.6015038	zoo
Martok	3	male	Raja	WILLOW_LEAVES_LV	0	4	14	13.3	1.0526316	zoo
Sari	2.5	female	Padana	WILLOW_LEAVES_LV	0	4	10	13.3	0.7518797	zoo
Rima	0.5	female	Pini	WILLOW_LEAVES_LV	0	4	2	13.3	0.1503759	zoo
Martok	3	male	Raja	PAPRIKA_FR	2	5	10	13.3	0.7518797	zoo
Sari	2.5	female	Padana	SALAD_VE	0	5	8	13.3	0.6015038	zoo
Sari	2.5	female	Padana	LEEK_VE	1	5	4	13.3	0.3007519	zoo
Martok	3	male	Raja	BROCCOLI_VE	0	2	1	13.3	0.0751880	zoo
Martok	3	male	Raja	CELERY_ROOT_ROOT	2	5	5	13.3	0.3759398	zoo
Martok	3	male	Raja	ZUCCHINI_PIECE_FR	0	2	1	13.3	0.0751880	zoo
Sari	2.5	female	Padana	ZUCCHINI_PIECE_FR	0	2	1	13.3	0.0751880	zoo
Martok	3	male	Raja	CARROT_ROOT	1	5	3	13.3	0.2255639	zoo
Sari	2.5	female	Padana	CARROT_ROOT	1	5	3	13.3	0.2255639	zoo
Sari	2.5	female	Padana	CELERY_ROOT_ROOT	2	5	3	13.3	0.2255639	zoo
Sari	2.5	female	Padana	CELERY_STEM_VE	1	5	4	13.3	0.3007519	zoo
Sari	2.5	female	Padana	BEETROOT_ROOT	2	5	4	13.3	0.3007519	zoo
Martok	3	male	Raja	CELERY_ROOT_PIECE_ROOT	0	2	3	13.3	0.2255639	zoo
Martok	3	male	Raja	INSECT_IN	0		1	13.3	0.0751880	zoo
Martok	3	male	Raja	CELERY_STEM_VE	1	5	2	13.3	0.1503759	zoo
Sari	2.5	female	Padana	CEREAL_OAT	0	2	1	13.3	0.0751880	zoo
Martok	3	male	Raja	CHINESE_CABBAGE_VE	0	5	1	13.3	0.0751880	zoo
Martok	3	male	Raja	APPLE_FR	0	5	1	13.3	0.0751880	zoo
Sari	2.5	female	Padana	CELERY_ROOT_PIECE_ROOT	0	2	4	13.3	0.3007519	zoo
Sari	2.5	female	Padana	FENNEL_ROOT	2	2	1	13.3	0.0751880	zoo
Martok	3	male	Raja	FLOUR_OATMEAL_GRAIN_OAT	0	3	7	13.3	0.5263158	zoo
Sari	2.5	female	Padana	FLOUR_OATMEAL_GRAIN_OAT	0	3	4	13.3	0.3007519	zoo
Rima	0.5	female	Pini	FENNEL_ROOT	2	2	1	13.3	0.0751880	zoo
Martok	3	male	Raja	FENNEL_ROOT	2	2	1	13.3	0.0751880	zoo
Rima	0.5	female	Pini	CHINESE_CABBAGE_VE	0	5	1	13.3	0.0751880	zoo
Martok	3	male	Raja	COOKED_CARROT_PAPERWRAP_ROOT	1	2	1	13.3	0.0751880	zoo
Sari	2.5	female	Padana	COOKED_CARROT_PAPERWRAP_ROOT	1	2	1	13.3	0.0751880	zoo
Sari	2.5	female	Padana	OAK_LEAVES_LV	0	3	7	13.3	0.5263158	zoo
Martok	3	male	Raja	OAK_LEAVES_LV	0	3	5	13.3	0.3759398	zoo
Martok	3	male	Raja	KOHLRABI_ROOT	2	5	2	13.3	0.1503759	zoo
Rima	0.5	female	Pini	SALAD_VE	0	5	2	13.3	0.1503759	zoo
Sari	2.5	female	Padana	KOHLRABI_ROOT	2	5	1	13.3	0.0751880	zoo
Martok	3	male	Raja	BEETROOT_ROOT	2	5	2	13.3	0.1503759	zoo
Sari	2.5	female	Padana	LIME_LEAVES_LV	0	2	1	13.3	0.0751880	zoo
