Begger	AgeClass	Sex	Mother	FoodItem	Complexity	Rarity	NrBeggingEvents	BeggingRate	FollowHours	BeggingFrequency
Lilly	7	female	Lisa	RAYAP_IN	3	0.086011424	5	0.056818	93.6	0.09079580
Lilly	7	female	Lisa	CMG_FR	5	0.030628831	17	0.261538	93.6	0.30870571
Fredy	3	male	Friska	RSKB_FR	1	0.018822642	4	0.008368	155.6	0.04370648
Ellie	9	female	Friska	MLK_FR	2.35	0.246574575	1	0.041667	97.3	0.01747174
Fredy	3	male	Friska	AKAR_LV	0	0.002338818	3	0.250000	155.6	0.03277986
Fredy	3	male	Friska	UNK_FR	0	0.001447112	1	1.000000	155.6	0.01092662
Fredy	3	male	Friska	CMG_FR	5	0.030628831	1	0.052632	155.6	0.01092662
Fredy	3	male	Friska	UNK_LV	0	0.00115667	1	1.000000	155.6	0.01092662
Fredy	3	male	Friska	RP_LV	0	0.004733686	1		155.6	0.01092662
Chindy	5	female	Cissy	UNK_LV	0	0.00115667	4	4.000000	0.0	
Chindy	5	female	Cissy	RAYAP_IN	3	0.086011424	4	0.038462	0.0	
Chindy	5	female	Cissy	UNK_IN	2.5	0.000214009	4		0.0	
Chindy	5	female	Cissy	AJK_VE	4	0.000244582	1		0.0	
Chindy	5	female	Cissy	AKAR_LV	0	0.002338818	6	0.272727	0.0	
Lilly	7	female	Lisa	AKAR_LV	0	0.002338818	1		93.6	0.01815916
Ronaldo	2	male	Raffi	RSKP_FR	1	0.008799865	16	0.080000	99.7	0.27277286
Fredy	3.5	male	Friska	AKAR_LV	0	0.002338818	5	5.000000	170.8	0.04976095
Ellie	9	female	Friska	AKAR_LV	0	0.002338818	1	1.000000	97.3	0.01747174
Fredy	4	male	Friska	UNK	0	0.000835656	4		7.0	0.97841727
Fredy	4	male	Friska	ULAT_IN	5	0.001289152	2		7.0	0.48920863
Fredy	4	male	Friska	ASK_LV	0	0.018797165	1		7.0	0.24460432
Fredy	4	male	Friska	ATB_VE	4	0.000193628	1		7.0	0.24460432
Fredy	2.5	male	Friska	KULBT_FR	1	0.00967119	1	0.012500	0.0	
Fredy	2.5	male	Friska	AKAR_NA	0	0.000443305	2		0.0	
Fredy	3	male	Friska	SEMUT_IN	2	0.05084763	2	0.021277	155.6	0.02185324
Fredy	3	male	Friska	PRD_FR	3	0.005951501	1	0.021739	155.6	0.01092662
Fredy	3	male	Friska	RTN_VE	1	0.0028076	4	0.020000	155.6	0.04370648
Fredy	3	male	Friska	KULBT_FR	1	0.00967119	5	0.031250	155.6	0.05463310
Fredy	3	male	Friska	MLK_FR	2.35	0.246574575	1	0.029412	155.6	0.01092662
Fredy	3.5	male	Friska	UNK	0	0.000835656	1		170.8	0.00995219
Fredy	3.5	male	Friska	ASK_LV	0	0.018797165	2	0.333333	170.8	0.01990438
Fredy	3.5	male	Friska	CMG_FR	5	0.030628831	2	0.043478	170.8	0.01990438
Fredy	3	male	Friska	UNK	0	0.000835656	5		155.6	0.05463310
Fredy	3	male	Friska	UNK_IN	2.5	0.000214009	1		155.6	0.01092662
Fredy	3	male	Friska	RSKP_LV	0	0.02737283	1	0.166667	155.6	0.01092662
Fredy	3	male	Friska	TOOLUSE	5	1.52864E-05	2		155.6	0.02185324
Fredy	3	male	Friska	UNK_VE	4	0.000601265	1		155.6	0.01092662
Lilly	7	female	Lisa	KULBT_FR	1	0.00967119	4	0.129032	93.6	0.07263664
Lilly	6.5	female	Lisa	CMG_FR	5	0.030628831	2	0.133333	0.0	
Lilly	7	female	Lisa	AKAR_NA	0	0.000443305	2		93.6	0.03631832
Chindy	5	female	Cissy	SEMUT_IN	2	0.05084763	4	0.036364	0.0	
Chindy	5	female	Cissy	RP_LV	0	0.004733686	1		0.0	
Chindy	5	female	Cissy	MDGB_FR	1	0.013574315	2	0.250000	0.0	
Chindy	5	female	Cissy	KULJM_FR	1	0.002043281	1	0.045455	0.0	
Chindy	5	female	Cissy				0		0.0	
Chindy	5	female	Cissy	MLK_FR	2.35	0.246574575	3	0.020000	0.0	
Ian		male	Intai	RAYAP_IN	3	0.086011424	0		0.0	
Ronaldo	2	male	Raffi	RSKP_LV	0	0.02737283	2	0.500000	99.7	0.03409661
Ronaldo	1.5	male	Raffi	SEMUT_IN	2	0.05084763	2	0.181818	23.6	0.14406780
Fredy	3	male	Friska	MLK_FL	0	0.007790964	1	0.021739	155.6	0.01092662
Fredy	3.5	male	Friska	RSKP_FR	1	0.008799865	2	0.012658	170.8	0.01990438
Chindy	6	female	Cissy	UNK	0	0.000835656	1		25.1	0.06772908
Chindy	6	female	Cissy	MLK_FR	2.35	0.246574575	1	0.014085	25.1	0.06772908
Fredy	4	male	Friska	SEMUT_IN	2	0.05084763	4		7.0	0.97841727
Fredy	4	male	Friska	AKAR_LV	0	0.002338818	2		7.0	0.48920863
Fredy	4	male	Friska	RAYAP_IN	3	0.086011424	9		7.0	2.20143885
Fredy	4	male	Friska	AKAR_VE	4	0.000779606	1		7.0	0.24460432
Fredy	4	male	Friska	RP_LV	0	0.004733686	4		7.0	0.97841727
Fredy	4	male	Friska	MNGH_FR	3	0.027907854	1		7.0	0.24460432
Fredy	4	male	Friska	SPG_FR	3	0.052972439	4		7.0	0.97841727
Fredy	4	male	Friska	AJK_VE	4	0.000244582	1		7.0	0.24460432
Fredy	4	male	Friska	RSKP_LV	0	0.02737283	1		7.0	0.24460432
Cinnamon	7	female	Cissy	SEMUT_IN	2	0.05084763	1		71.7	0.02371652
Pepito	6.5	male	Piniata	RNGS_BK	2	0.002450918	3		0.0	
Eden	5	female	Ellie	BSG_BK	2	0.002262386	1		125.2	0.01358189
Eden	5	female	Ellie	SEMUT_IN	2	0.05084763	1		125.2	0.01358189
Eden	5	female	Ellie	MADU_KERINGAT_IN	4	4.07637E-05	1		125.2	0.01358189
Eden	5	female	Ellie	UNK_IN	2.5	0.000214009	2		125.2	0.02716378
Pepito	7	male	Piniata	CMG_FR	5	0.030628831	1		22.3	0.07634731
Frankie	6.5	male	Friska	RAYAP_IN	3	0.086011424	2	0.111111	35.9	0.09479554
Luther	3	male	Lilly	UBR_FR	3	0.016015042	1		15.4	0.11027027
Luther	3	male	Lilly	UNK_LV	0	0.00115667	3		15.4	0.33081081
Frankie	6.5	male	Friska	RNGS_BK	2	0.002450918	1		35.9	0.04739777
Eden	5	female	Ellie	RAYAP_IN	3	0.086011424	10		125.2	0.13581891
Eden	4.5	female	Ellie	RAYAP_IN	3	0.086011424	10		15.8	1.07936508
Frankie		male	Friska	ATB_VE	4	0.000193628	0		0.0	
Frankie		male	Friska	RTN_VE	1	0.0028076	0		0.0	
Eden	4.5	female	Ellie	APKSB_LV	0	6.6241E-05	1		15.8	0.10793651
Eden	5	female	Ellie	ASK_LV	0	0.018797165	1		125.2	0.01358189
Frankie	6.5	male	Friska	UNK	0	0.000835656	1		35.9	0.04739777
Frankie	7	male	Friska	UNK	0	0.000835656	1		62.8	0.02709163
Eden	4.5	female	Ellie	UNK_IN	2.5	0.000214009	5		15.8	0.53968254
Frankie	7	male	Friska	UNK_IN	2.5	0.000214009	3		62.8	0.08127490
Eden	4.5	female	Ellie	TMPGRW_FR	3	0.00016815	3		15.8	0.32380952
Frankie	7	male	Friska	RAYAP_IN	3	0.086011424	6		62.8	0.16254980
Frankie	7	male	Friska	MADU_KERINGAT_IN	4	4.07637E-05	1		62.8	0.02709163
Frankie	7	male	Friska	APKSB_LV	0	6.6241E-05	1		62.8	0.02709163
Eden	5	female	Ellie	MADU_IN	4	2.03819E-05	1		125.2	0.01358189
